2026-02-13 14:07:10,048 | ERROR | API Secret required for private endpoints
2026-02-13 14:08:56,664 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:11:19,502 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:14:46,272 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:16:15,119 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:17:43,334 | ERROR | Failed to place market order: APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:17:43,334 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:19:33,430 | ERROR | Failed to place market order: APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:19:33,432 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:20:48,428 | ERROR | Failed to place market order: APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:20:48,428 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:22:03,057 | ERROR | Failed to place market order: APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:22:03,057 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:23:42,992 | ERROR | Failed to place market order: APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:23:42,992 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:24:06,222 | ERROR | Failed to place market order: APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:24:06,222 | ERROR | APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-13 14:25:24,133 | ERROR | Failed to place market order: API error: {'code': -4164, 'msg': "Order's notional must be no smaller than 100 (unless you choose reduce only)."}
2026-02-13 14:25:24,133 | ERROR | API error: {'code': -4164, 'msg': "Order's notional must be no smaller than 100 (unless you choose reduce only)."}
2026-02-13 14:27:14,428 | ERROR | Order notional too small: 66.58 (price 66575.9) — increase quantity so notional >= 100
2026-02-13 14:28:03,494 | ERROR | Failed to place market order: API error: {'code': -1111, 'msg': 'Precision is over the maximum defined for this asset.'}
2026-02-13 14:28:03,494 | ERROR | API error: {'code': -1111, 'msg': 'Precision is over the maximum defined for this asset.'}
2026-02-13 14:28:40,223 | INFO | {'orderId': 12238490025, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'PrFoxeFQbPhUbHxUUMjMD6', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1770973129963}
2026-02-13 14:29:05,387 | INFO | {'orderId': 12238497354, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'JTT1m76GgkQmCvtdLAlBLZ', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1770973155123}
2026-02-13 14:31:00,683 | ERROR | Order notional too small: 66.66 (price 66656.7) — increase quantity so notional >= 100
